priority_rank,priority_tier,spatial_unit_id,location_name,location_type,police_station_mode,unit_latitude,unit_longitude,final_priority_score,score_ml,score_recent30,score_priority,daily_impact_signal_roll_sum_7d,daily_impact_signal_roll_sum_30d,recent_persistence_30d,high_obstruction_share_30d,hist_total_events,hist_confidence_score,recommended_action,recommended_time_window,priority_reason
117,Medium,h3_8961892ecbbffff,h3_8961892ecbbffff,H3/grid hotspot cell,Jeevanbheemanagar,12.970984,77.647323,0.912061403508772,17.373166243202352,77.73679999999999,56.1600951299367,33.29679999999999,77.73679999999999,0.36666666666666664,0.35135135135135137,342.0,0.6526904552437466,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
118,Medium,h3_8961892c9c7ffff,h3_8961892c9c7ffff,H3/grid hotspot cell,Hebbala,13.0361361,77.5893447,0.9114766081871345,15.236957111941305,115.66240000000002,55.549944705632655,13.872999999999994,115.66240000000002,0.6666666666666666,0.0,363.0,0.6833558028498788,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
119,Medium,h3_89618925357ffff,h3_89618925357ffff,H3/grid hotspot cell,Jeevanbheemanagar,12.9597271,77.6490162,0.9111476608187133,16.701957035858005,90.389,46.2811312276631,9.782499999999999,90.389,0.7,0.11594202898550725,407.0,0.7056995953562237,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
120,Medium,h3_8960169019bffff,h3_8960169019bffff,H3/grid hotspot cell,Devanahalli Airport,13.1882293,77.6804463,0.9099049707602338,13.013157756131156,170.925,77.13017257324512,11.0,170.925,0.6666666666666666,0.007518796992481203,533.0,0.7210017847830458,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
121,Medium,junction_BTP068 - Veeresh Theatre Junction,BTP068 - Veeresh Theatre Junction,Named junction,Vijayanagara,12.97681935,77.5454631,0.9093201754385964,15.989931455798796,100.85074999999999,41.3134606170425,8.0296875,100.85074999999999,0.43333333333333335,0.0,418.0,0.6761467650468601,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
122,Medium,junction_BTP098 - Nayandahalli Junction,BTP098 - Nayandahalli Junction,Named junction,Byatarayanapura,12.9448214,77.5272416,0.9084064327485379,14.203679943878477,139.674375,60.71494444114574,13.000000000000025,139.674375,0.5,0.17391304347826086,155.0,0.5587475496460443,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
123,Medium,junction_BTP215 - Vanivillas Junction,BTP215 - Vanivillas Junction,Named junction,Basavanagudi,12.9458066,77.5706173,0.9083698830409356,19.439461053989035,59.986562500000005,38.82838323561797,22.955312499999998,59.986562500000005,0.4666666666666667,0.08823529411764706,279.0,0.6790298296846581,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
124,Medium,junction_BTP218 - Syndicate Bank Junction,BTP218 - Syndicate Bank Junction,Named junction,Jayanagara,12.936385,77.5841724,0.9081505847953215,14.872611022197898,105.1403125,50.463817637301055,21.945,105.1403125,0.4,0.011111111111111112,309.0,0.6379981206761179,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
125,Medium,junction_BTP220 - Puttanna Junction,BTP220 - Puttanna Junction,Named junction,Jayanagara,12.9289059,77.58271,0.9070540935672513,17.480587586765637,62.622125000000004,41.678686740830535,27.67325,62.622125000000004,0.5,0.0,258.0,0.6711014523352076,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
126,Medium,"junction_BTP226 - 33rd Cross, 11th Main, Jayanagar","BTP226 - 33rd Cross, 11th Main, Jayanagar",Named junction,Jayanagara,12.9262948,77.5859467,0.9060307017543859,16.47918394005313,66.1875,44.38540271638468,32.7375,66.1875,0.36666666666666664,0.0,343.0,0.6878744978256598,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
127,Medium,h3_89618925a5bffff,h3_89618925a5bffff,H3/grid hotspot cell,Halasur,12.9732885,77.6149379,0.9052997076023392,15.253173908508586,86.8445,42.641300092571676,16.8235,86.8445,0.43333333333333335,0.014285714285714285,349.0,0.6839275776455185,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
128,Medium,h3_8961892e3d3ffff,h3_8961892e3d3ffff,H3/grid hotspot cell,K.R. Pura,13.00566965,77.6857039,0.904751461988304,14.362009452938745,115.76384999999999,50.03262866204274,8.15,115.76384999999999,0.43333333333333335,0.06060606060606061,941.0,0.7423703991677737,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
129,Medium,h3_8961892e94fffff,h3_8961892e94fffff,H3/grid hotspot cell,Pulikeshinagar(F.Town),12.9957223,77.6137,0.9047149122807017,15.574450931192072,89.5275,38.21812089847866,4.625000000000007,89.5275,0.5666666666666667,0.0,654.0,0.7343969218528349,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
130,Medium,h3_8961892e28fffff,h3_8961892e28fffff,H3/grid hotspot cell,K.R. Pura,13.010337199999999,77.69745370000001,0.9043859649122807,15.081168829677182,83.70875000000001,45.56332126266692,10.47,83.70875000000001,0.5333333333333333,0.3684210526315789,313.0,0.682689762731565,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
131,Medium,h3_8960145b08fffff,h3_8960145b08fffff,H3/grid hotspot cell,Sheshadripuram,12.98734045,77.5744257,0.9043494152046784,15.624352444961541,80.261,39.81841434464505,10.585,80.261,0.7333333333333333,0.0,265.0,0.6662334654535733,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
132,Medium,h3_89601690c2bffff,h3_89601690c2bffff,H3/grid hotspot cell,Chikkajala,13.191158399999999,77.64607699999999,0.9023391812865497,10.400240341688143,194.548,100.03472390622838,6.0,194.548,0.4666666666666667,0.5913978494623656,648.0,0.7390544238370326,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
133,Medium,h3_89618925123ffff,h3_89618925123ffff,H3/grid hotspot cell,Adugodi,12.9324744,77.6315659,0.9017909356725146,11.672711020903675,129.37220000000002,71.68270442792473,41.750000000000014,129.37220000000002,0.3333333333333333,0.11382113821138211,385.0,0.6055143804903204,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
134,Medium,h3_89618920a37ffff,h3_89618920a37ffff,H3/grid hotspot cell,HAL Old Airport,12.9592343,77.7160698,0.9010964912280701,14.363154360435875,90.8995,44.79836380176626,19.47000000000001,90.8995,0.43333333333333335,0.014084507042253521,378.0,0.6443813470381968,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
135,Medium,junction_BTP091 - Sirsi Circle,BTP091 - Sirsi Circle,Named junction,Chamarajpet,12.96286185,77.55918265,0.9010599415204679,11.639118161534874,143.05125,61.19797749423709,4.06875,143.05125,0.5,0.2911392405063291,220.0,0.6215148129730615,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
136,Medium,h3_8960145a2cfffff,h3_8960145a2cfffff,H3/grid hotspot cell,Magadi Road,12.9644572,77.5546443,0.8995248538011695,14.855613999102536,63.992000000000004,43.74450388619225,20.266000000000002,63.992000000000004,0.5333333333333333,0.3333333333333333,296.0,0.6644060029709,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
137,Medium,junction_BTP067 - Jai Muni Rao Circle,BTP067 - Jai Muni Rao Circle,Named junction,Magadi Road,12.9784764,77.54287264999999,0.898720760233918,14.743876039283036,68.094375,41.093031810194944,22.324999999999996,68.094375,0.5,0.04081632653061224,333.0,0.6804037467356538,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
138,Medium,h3_8961892e16fffff,h3_8961892e16fffff,H3/grid hotspot cell,Banaswadi,12.9940757,77.6632521,0.8982821637426901,12.737794341953132,91.7955,54.86940732435813,27.317500000000003,91.7955,0.7,0.0,277.0,0.6295146186995022,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
139,Medium,"junction_BTP197 - 9th Cross, 24th Main, JP Nagar","BTP197 - 9th Cross, 24th Main, JP Nagar",Named junction,J.P. Nagar,12.91207115,77.5857812,0.8981725146198829,14.084976480195252,84.645875,45.840712413825365,22.621500000000005,84.645875,0.4666666666666667,0.09090909090909091,202.0,0.6039753586836513,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
140,Medium,h3_8961892eba3ffff,h3_8961892eba3ffff,H3/grid hotspot cell,Pulikeshinagar(F.Town),13.00005345,77.6110797,0.8968567251461987,14.58628145073735,80.8144,35.36998582353704,7.1475,80.8144,0.5,0.0,541.0,0.7185060699849753,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
141,Medium,h3_8961892e997ffff,h3_8961892e997ffff,H3/grid hotspot cell,Halasur,12.97378935,77.6146929,0.8955774853801168,14.461187710560235,68.446,38.18925445852057,15.743500000000004,68.446,0.5,0.07407407407407407,408.0,0.7233589096529981,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
142,Medium,h3_8961892440bffff,h3_8961892440bffff,H3/grid hotspot cell,Hulimavu,12.87597,77.6480017,0.8940789473684211,10.032324300687208,160.50100000000003,62.783202278590565,13.513500000000002,160.50100000000003,0.43333333333333335,0.0,236.0,0.5887723860135261,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
143,Medium,h3_89618920a2bffff,h3_89618920a2bffff,H3/grid hotspot cell,HAL Old Airport,12.9652112,77.7180357,0.8936403508771928,12.911292908868157,87.23025000000001,38.42141276964736,9.528750000000002,87.23025000000001,0.4666666666666667,0.0,679.0,0.6965615708004916,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
144,Medium,h3_8960145b697ffff,h3_8960145b697ffff,H3/grid hotspot cell,Shivajinagar,12.9891387,77.599107,0.8931652046783625,14.711812452829859,54.386250000000004,36.7571436363049,20.184499999999996,54.386250000000004,0.6,0.06349206349206349,476.0,0.7045335673277066,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
145,Medium,h3_8960145a323ffff,h3_8960145a323ffff,H3/grid hotspot cell,Byatarayanapura,12.9567093,77.5185858,0.8922514619883041,11.308667218987045,94.85500000000002,51.37681418293651,19.26,94.85500000000002,0.5,0.24742268041237114,249.0,0.6000840330895395,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
146,Medium,h3_8961892ed2bffff,h3_8961892ed2bffff,H3/grid hotspot cell,Halasur,12.9736496,77.620189,0.8913377192982456,14.133769793769531,69.666,31.101629945365147,8.650000000000002,69.666,0.4666666666666667,0.0,335.0,0.6808554265563298,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
147,Medium,h3_8961892086bffff,h3_8961892086bffff,H3/grid hotspot cell,Whitefield,12.95161955,77.71748579999999,0.8909356725146199,7.226749772796264,383.79960000000005,182.9453655980924,0.0,383.79960000000005,0.4,0.8235294117647058,329.0,0.6078120510210476,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
148,Medium,"junction_BTP177 - Aurobindo Circle, ORR","BTP177 - Aurobindo Circle, ORR",Named junction,J.P. Nagar,12.9165438,77.5857857,0.8907163742690057,12.049700019924602,84.018125,38.04632074668169,10.81875,84.018125,0.5666666666666667,0.05357142857142857,161.0,0.5847563651425841,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
149,Medium,h3_89601458293ffff,h3_89601458293ffff,H3/grid hotspot cell,Rajajinagar,13.0072817,77.5268212,0.8900219298245613,12.577270975158411,71.147,39.03238968044039,12.39,71.147,0.3,0.5789473684210527,183.0,0.5974385315010544,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
150,Medium,junction_BTP155 - Katriguppe Junction,BTP155 - Katriguppe Junction,Named junction,Banashankari,12.92672275,77.55080905,0.8897295321637425,11.501905602862923,88.72125,40.995704122669096,9.625,88.72125,0.36666666666666664,0.3870967741935484,196.0,0.5560059239622565,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
151,Medium,junction_BTP041 - Gopal Gowda Circle,BTP041 - Gopal Gowda Circle,Named junction,Cubbon Park,12.9773257,77.59083584999999,0.8888523391812865,8.916171129184187,119.555,88.12454774112987,67.825,119.555,0.26666666666666666,0.25274725274725274,283.0,0.6067171252366617,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
152,Medium,"junction_BTP163 - 16th Main Road, BTM Layout","BTP163 - 16th Main Road, BTM Layout",Named junction,Mico Layout,12.9138212,77.60847085,0.8860745614035087,11.78267144603932,57.150625000000005,42.38777667157469,38.49187500000001,57.150625000000005,0.3333333333333333,0.0,297.0,0.6139677024020244,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
153,Medium,h3_8960145b06bffff,h3_8960145b06bffff,H3/grid hotspot cell,Malleshwaram,13.0054273,77.5706807,0.8853801169590643,12.973435167676518,59.4025,30.068324870481913,16.305,59.4025,0.23333333333333334,0.0,576.0,0.7156807074404832,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
154,Medium,h3_89618920a23ffff,h3_89618920a23ffff,H3/grid hotspot cell,HAL Old Airport,12.96327075,77.71736315,0.8848318713450292,10.954824939319892,94.2425,34.69806557729285,4.674999999999994,94.2425,0.3333333333333333,0.0,470.0,0.651205233579409,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
155,Medium,junction_BTP076 - Hudson Circle,BTP076 - Hudson Circle,Named junction,Cubbon Park,12.9680255,77.58864990000001,0.8828581871345029,10.292087763040007,88.1375,36.34686749337958,11.19375,88.1375,0.3,0.0,359.0,0.6580589612333967,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
156,Medium,h3_89601459573ffff,h3_89601459573ffff,H3/grid hotspot cell,Yeshwanthpura,13.02895765,77.53934795,0.8827485380116958,11.901251618645702,54.51520000000001,34.36769060093022,20.120000000000005,54.51520000000001,0.36666666666666664,0.2222222222222222,217.0,0.6256326161266355,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
157,Medium,h3_8961892528fffff,h3_8961892528fffff,H3/grid hotspot cell,HAL Old Airport,12.9583817,77.6680933,0.8823464912280701,8.923158477820001,86.98750000000001,65.31871927431027,61.970000000000006,86.98750000000001,0.36666666666666664,0.008928571428571428,247.0,0.5539827517343615,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
158,Medium,h3_896014582dbffff,h3_896014582dbffff,H3/grid hotspot cell,Rajajinagar,13.0174869,77.5315454,0.8820906432748536,11.364750791045513,70.25150000000001,30.1145917891162,0.0,70.25150000000001,0.2,0.7407407407407407,313.0,0.6249974550392573,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
159,Medium,h3_89618920bdbffff,h3_89618920bdbffff,H3/grid hotspot cell,HAL Old Airport,12.95688415,77.71512129999999,0.8806652046783625,11.216617583832592,59.886250000000004,36.032193849390445,19.615000000000006,59.886250000000004,0.4666666666666667,0.17647058823529413,218.0,0.592793509373686,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
160,Medium,h3_8961892ee9bffff,h3_8961892ee9bffff,H3/grid hotspot cell,Banaswadi,12.9933097,77.6618573,0.8799342105263157,11.173431614942892,67.545,30.75067110634563,10.259999999999998,67.545,0.4666666666666667,0.0,332.0,0.6452116281205005,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
161,Medium,h3_8960145b25bffff,h3_8960145b25bffff,H3/grid hotspot cell,R.T. Nagar,13.02370735,77.58495395,0.8798245614035087,11.620060723913731,55.389250000000004,30.625485928848303,14.1,55.389250000000004,0.5666666666666667,0.0,318.0,0.6716623935822178,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
162,Medium,junction_BTP133 - Adugodi Junction,BTP133 - Adugodi Junction,Named junction,Adugodi,12.941398,77.6086702,0.879422514619883,11.118680935440832,61.455,34.82837084400353,20.00375,61.455,0.5333333333333333,0.21621621621621623,57.0,0.43797880853966964,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
163,Medium,junction_BTP132 - Anepalya Junction,BTP132 - Anepalya Junction,Named junction,Ashok Nagar,12.9515023,77.6073765,0.8778143274853801,10.066767614867434,74.5325,33.6505530337499,17.075,74.5325,0.3333333333333333,0.023255813953488372,139.0,0.5335055955617304,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
164,Medium,junction_BTP136 - Hosur-Tavarkere Road Junction,BTP136 - Hosur-Tavarkere Road Junction,Named junction,Mico Layout,12.935485,77.608438,0.87781432748538,12.666104920760048,53.75625,21.45480381511835,1.71875,53.75625,0.43333333333333335,0.11627906976744186,306.0,0.6722139327353359,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
165,Medium,h3_89618925407ffff,h3_89618925407ffff,H3/grid hotspot cell,Bellandur,12.9255468,77.6760081,0.8762061403508772,11.326017076097529,58.033500000000004,26.559858593605266,9.702000000000004,58.033500000000004,0.4666666666666667,0.0,211.0,0.6180780115205063,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
166,Medium,junction_BTP105 - Shivasankara Circle,BTP105 - Shivasankara Circle,Named junction,V.V.Puram (C.Pet),12.9568303,77.57501815,0.8761695906432749,7.888349230157187,94.71100000000001,50.6056497801938,30.66875,94.71100000000001,0.4,0.05063291139240506,178.0,0.5496369774841178,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
167,Medium,h3_89601696683ffff,h3_89601696683ffff,H3/grid hotspot cell,Yelahanka,13.097124,77.599607,0.8756213450292396,8.470174193146235,91.69800000000001,39.546229610765224,12.322499999999996,91.69800000000001,0.4666666666666667,0.0,287.0,0.599070938578458,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
168,Medium,h3_8961892cb4bffff,h3_8961892cb4bffff,H3/grid hotspot cell,Hebbala,13.0716462,77.5925294,0.8754751461988304,10.210891592476068,66.8126,29.886150193360933,11.164999999999997,66.8126,0.4,0.017543859649122806,263.0,0.6114374257390182,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
169,Medium,junction_BTP126 - Dairy Circle,BTP126 - Dairy Circle,Named junction,Mico Layout,12.9367311,77.6017158,0.8745248538011696,13.728574627819158,36.08312499999999,23.68830058299634,9.986249999999986,36.08312499999999,0.4666666666666667,0.42857142857142855,234.0,0.6545165236848061,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
170,Medium,junction_BTP085 - Briyand Circle,BTP085 - Briyand Circle,Named junction,Chamarajpet,12.9669615,77.5700303,0.8741959064327485,9.50276530964812,72.00575,31.999593104634524,7.034375,72.00575,0.6,0.1282051282051282,125.0,0.5538361793634996,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
171,Medium,h3_89618920ac3ffff,h3_89618920ac3ffff,H3/grid hotspot cell,Whitefield,12.9636382,77.73306794999999,0.8736111111111111,6.871911837512037,93.66000000000001,105.22751798208361,93.66000000000001,93.66000000000001,0.03333333333333333,1.0,107.0,0.47344973597677836,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
172,Medium,h3_896189255cbffff,h3_896189255cbffff,H3/grid hotspot cell,Bellandur,12.9208208,77.6654333,0.8734649122807018,10.215312773288531,52.46175,34.03018934306606,23.820500000000003,52.46175,0.4666666666666667,0.0,216.0,0.6304976431584075,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
173,Medium,junction_BTP216 - Yediyur Junction,BTP216 - Yediyur Junction,Named junction,Basavanagudi,12.93802885,77.5769215,0.872843567251462,9.654740522243097,60.50625,30.188863310320475,18.8125,60.50625,0.3333333333333333,0.022727272727272728,126.0,0.5318177361657783,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
174,Medium,h3_8961892f69bffff,h3_8961892f69bffff,H3/grid hotspot cell,K.R. Pura,13.0458572,77.7503525,0.872295321637427,9.60438760130547,53.02250000000001,39.16129191958457,27.019,53.02250000000001,0.4666666666666667,0.2,157.0,0.5983187889744828,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
175,Medium,"junction_BTP188 - 27th Cross, 4th Main, Jayanagar","BTP188 - 27th Cross, 4th Main, Jayanagar",Named junction,Jayanagara,12.929524,77.5806717,0.8707236842105264,8.414254827279525,77.065,35.33253222131418,20.35,77.065,0.26666666666666666,0.033707865168539325,161.0,0.5253158057020247,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
176,Medium,h3_8961892097bffff,h3_8961892097bffff,H3/grid hotspot cell,HAL Old Airport,12.942576,77.6971881,0.8706505847953215,6.507999170573417,146.28700000000003,69.72026258405361,5.335000000000001,146.28700000000003,0.23333333333333334,0.9285714285714286,167.0,0.5599290917614577,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
177,Medium,junction_BTP180 - Swagath Poornima Theatre,BTP180 - Swagath Poornima Theatre,Named junction,Halasuru Gate,12.96112615,77.5871496,0.8702850877192981,10.816063886071431,53.3359375,23.486333394794418,5.54375,53.3359375,0.4666666666666667,0.08571428571428572,232.0,0.6398340693420613,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
178,Medium,h3_89618924203ffff,h3_89618924203ffff,H3/grid hotspot cell,HSR Layout,12.91241735,77.63527945,0.8679459064327484,9.648242238667548,43.35625,35.273933498856884,32.463750000000005,43.35625,0.3,0.0,445.0,0.6910839099369023,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
179,Medium,h3_8961892e00bffff,h3_8961892e00bffff,H3/grid hotspot cell,Mahadevapura,12.9962704,77.6932768,0.8658260233918128,8.733235112337702,64.5805,27.66592003731795,4.145,64.5805,0.36666666666666664,0.35135135135135137,189.0,0.5721868693181242,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
180,Medium,h3_8961892422fffff,h3_8961892422fffff,H3/grid hotspot cell,HSR Layout,12.912884949999999,77.62556294999999,0.8640350877192982,7.757238262382941,59.573750000000004,38.667971486556404,27.512000000000004,59.573750000000004,0.5333333333333333,0.0,146.0,0.576271560543921,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
181,Medium,"junction_BTP159 - JP Nagar Metro, ORR","BTP159 - JP Nagar Metro, ORR",Named junction,J.P. Nagar,12.9064516,77.5733573,0.8639619883040934,7.631401480765707,72.091125,31.934858321071093,12.9625,72.091125,0.43333333333333335,0.12121212121212122,75.0,0.47057500060492413,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
182,Medium,h3_8960145b02fffff,h3_8960145b02fffff,H3/grid hotspot cell,Sheshadripuram,12.9962982,77.5631583,0.8627923976608186,7.417553697082459,81.72649999999999,31.39710416847522,9.647000000000002,81.72649999999999,0.2,0.011111111111111112,443.0,0.6278290613546119,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
183,Medium,h3_896189240c3ffff,h3_896189240c3ffff,H3/grid hotspot cell,Hulimavu,12.8893405,77.6398204,0.862719298245614,8.775915514843259,50.3305,29.3016525965601,19.63775,50.3305,0.5,0.0,111.0,0.5431967157733398,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
184,Medium,h3_8961892e907ffff,h3_8961892e907ffff,H3/grid hotspot cell,Shivajinagar,12.9837401,77.6087081,0.8617324561403508,7.824015318101241,65.483,27.271517499853793,13.507999999999985,65.483,0.16666666666666666,0.0,313.0,0.5882841683259705,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
185,Medium,junction_BTP225 - Geetha Junction,BTP225 - Geetha Junction,Named junction,Jayanagara,12.92855295,77.5860842,0.8615862573099414,7.797234996630962,50.253125,39.59934357572075,31.696875,50.253125,0.4666666666666667,0.0625,251.0,0.630444893559603,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
186,Medium,h3_89601459e87ffff,h3_89601459e87ffff,H3/grid hotspot cell,Chikkabanavara,13.045321600000001,77.5074227,0.8611111111111112,7.8196202940495425,65.79715,27.20061726730601,6.822000000000001,65.79715,0.5333333333333333,0.019230769230769232,128.0,0.548951048951049,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
187,Medium,h3_8960145b007ffff,h3_8960145b007ffff,H3/grid hotspot cell,Malleshwaram,12.993304,77.57147475,0.86078216374269,9.138147844811238,39.8185,28.121544416651,21.545999999999996,39.8185,0.43333333333333335,0.0,255.0,0.6544352703238157,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
188,Medium,h3_8961892446fffff,h3_8961892446fffff,H3/grid hotspot cell,Hulimavu,12.884191,77.6414629,0.860343567251462,6.583992961237889,97.10250000000002,35.752358984861225,12.375000000000002,97.10250000000002,0.3,0.0,89.0,0.4793854483794609,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
189,Medium,h3_8960145b26bffff,h3_8960145b26bffff,H3/grid hotspot cell,Sadashivanagar,13.027676,77.5749833,0.8592836257309941,7.551434031518163,69.59500000000001,25.527962526203304,4.560000000000004,69.59500000000001,0.3333333333333333,0.0,228.0,0.6017063555706931,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
190,Medium,h3_8960145a32bffff,h3_8960145a32bffff,H3/grid hotspot cell,Byatarayanapura,12.9582799,77.5190905,0.8590643274853801,8.2016308005529,48.43675,28.872742137226687,15.6665,48.43675,0.3333333333333333,0.3333333333333333,167.0,0.5634255952579611,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
191,Medium,h3_8960145a133ffff,h3_8960145a133ffff,H3/grid hotspot cell,Kengeri,12.93185845,77.51559762,0.858625730994152,6.855200351278053,71.48000000000002,35.58405956860115,9.690000000000001,71.48000000000002,0.3333333333333333,0.6,94.0,0.49838055325331854,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
192,Medium,h3_8961892e287ffff,h3_8961892e287ffff,H3/grid hotspot cell,K.R. Pura,13.0079342,77.6967746,0.8561038011695905,5.867920502195462,122.5785,51.69176898260133,0.0,122.5785,0.26666666666666666,0.9344262295081968,79.0,0.44916614914397957,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
193,Medium,h3_8960145a13bffff,h3_8960145a13bffff,H3/grid hotspot cell,Byatarayanapura,12.9358586,77.517897,0.8555921052631578,6.512188294664349,83.72240000000001,33.77242256791928,8.177400000000004,83.72240000000001,0.3333333333333333,0.13043478260869565,192.0,0.5700132474864654,Periodic monitoring,Peak parking-risk windows,"High rank from ML, recent history, and operational priority ensemble"
